PHASE,EDA_MAX,EDA_MIN,EDA_MEAN,EDA_MEDIAN,EDA_MODE,EDA_SD,EDA_DIFF,HR_MAX,HR_MIN,HR_MEAN,HR_MEDIAN,HR_MODE,HR_SD,HR_DIFF,SKT_MAX,SKT_MIN,SKT_MEAN,SKT_MEDIAN,SKT_MODE,SKT_SD,SKT_DIFF,BVP_MAX,BVP_MIN,BVP_MEAN,BVP_MEDIAN,BVP_MODE,BVP_SD,BVP_DIFF
1 -> 2,6.994775000000003,6.994775,6.994775000000002,6.994775000000002,6.994775000000003,1.7199501139797033e-15,-2.9605947323337506e-16,93.0,93.0,93.0,93.0,93.0,0.0,0.0,36.05000000000001,36.04999999999999,36.050000000000004,36.050000000000004,36.05000000000001,9.39959687352353e-15,-2.3684757858670005e-15,3.74,-8.0,-2.1225,-2.115,-8.0,4.402421918671585,-3.9133333333333336
1 -> 2,6.994775000000003,6.994775,6.994775000000002,6.994775000000002,6.994775000000003,1.7199501139797033e-15,-2.9605947323337506e-16,93.0,93.0,93.0,93.0,93.0,0.0,0.0,36.05000000000001,36.04999999999999,36.050000000000004,36.050000000000004,36.05000000000001,9.39959687352353e-15,-2.3684757858670005e-15,3.74,-8.0,-2.1225,-2.115,-8.0,4.402421918671585,-3.9133333333333336
1 -> 2,6.994775000000003,6.994775,6.994775000000002,6.994775000000002,6.994775000000003,1.7199501139797033e-15,-2.9605947323337506e-16,93.0,93.0,93.0,93.0,93.0,0.0,0.0,36.05000000000001,36.04999999999999,36.050000000000004,36.050000000000004,36.05000000000001,9.39959687352353e-15,-2.3684757858670005e-15,-7.02,-11.47,-9.835,-10.425,-11.47,1.6878166369603071,1.2100000000000002
1 -> 2,6.994775000000003,6.994775,6.994775000000002,6.994775000000002,6.994775000000003,1.7199501139797033e-15,-2.9605947323337506e-16,93.0,93.0,93.0,93.0,93.0,0.0,0.0,36.05000000000001,36.04999999999999,36.050000000000004,36.050000000000004,36.05000000000001,9.39959687352353e-15,-2.3684757858670005e-15,-7.02,-11.47,-9.835,-10.425,-11.47,1.6878166369603071,1.2100000000000002
1 -> 2,6.994775000000003,6.994775,6.994775000000002,6.994775000000002,6.994775000000003,1.7199501139797033e-15,-2.9605947323337506e-16,93.0,93.0,93.0,93.0,93.0,0.0,0.0,36.05000000000001,36.04999999999999,36.050000000000004,36.050000000000004,36.05000000000001,9.39959687352353e-15,-2.3684757858670005e-15,10.68,-2.54,4.3925,4.715,-2.54,4.960500856768397,4.406666666666666
1 -> 2,6.994775000000003,6.994775,6.994775000000002,6.994775000000002,6.994775000000003,1.7199501139797033e-15,-2.9605947323337506e-16,93.0,93.0,93.0,93.0,93.0,0.0,0.0,36.05000000000001,36.04999999999999,36.050000000000004,36.050000000000004,36.05000000000001,9.39959687352353e-15,-2.3684757858670005e-15,10.68,-2.54,4.3925,4.715,-2.54,4.960500856768397,4.406666666666666
1 -> 2,6.994775000000003,6.994775,6.994775000000002,6.994775000000002,6.994775000000003,1.7199501139797033e-15,-2.9605947323337506e-16,93.0,93.0,93.0,93.0,93.0,0.0,0.0,36.05000000000001,36.04999999999999,36.050000000000004,36.050000000000004,36.05000000000001,9.39959687352353e-15,-2.3684757858670005e-15,15.36,13.13,14.497499999999999,14.75,13.13,0.8546161419023159,0.7433333333333328
1 -> 2,6.994775000000003,6.994775,6.994775000000002,6.994775000000002,6.994775000000003,1.7199501139797033e-15,-2.9605947323337506e-16,93.0,93.0,93.0,93.0,93.0,0.0,0.0,36.05000000000001,36.04999999999999,36.050000000000004,36.050000000000004,36.05000000000001,9.39959687352353e-15,-2.3684757858670005e-15,15.36,13.13,14.497499999999999,14.75,13.13,0.8546161419023159,0.7433333333333328
1 -> 2,6.933322000000004,6.933321999999997,6.933322,6.933322,6.933322000000004,3.352800008858181e-15,2.9605947323337506e-16,93.0,93.0,93.0,93.0,93.0,0.0,0.0,36.05000000000001,36.04999999999999,36.050000000000004,36.050000000000004,36.05000000000001,9.39959687352353e-15,-2.3684757858670005e-15,16.08,14.72,15.625,15.850000000000001,14.72,0.538771751301049,-0.3333333333333333
1 -> 2,6.933322000000004,6.933321999999997,6.933322,6.933322,6.933322000000004,3.352800008858181e-15,2.9605947323337506e-16,93.0,93.0,93.0,93.0,93.0,0.0,0.0,36.05000000000001,36.04999999999999,36.050000000000004,36.050000000000004,36.05000000000001,9.39959687352353e-15,-2.3684757858670005e-15,16.08,14.72,15.625,15.850000000000001,14.72,0.538771751301049,-0.3333333333333333
1 -> 2,6.933322000000004,6.933321999999997,6.933322,6.933322,6.933322000000004,3.352800008858181e-15,2.9605947323337506e-16,93.0,93.0,93.0,93.0,93.0,0.0,0.0,36.05000000000001,36.04999999999999,36.050000000000004,36.050000000000004,36.05000000000001,9.39959687352353e-15,-2.3684757858670005e-15,11.56,-8.52,2.1125000000000007,2.705,-8.52,7.549832365688658,-6.6933333333333325
