PHASE,EDA_MAX,EDA_MIN,EDA_MEAN,EDA_MEDIAN,EDA_MODE,EDA_SD,EDA_DIFF,HR_MAX,HR_MIN,HR_MEAN,HR_MEDIAN,HR_MODE,HR_SD,HR_DIFF,SKT_MAX,SKT_MIN,SKT_MEAN,SKT_MEDIAN,SKT_MODE,SKT_SD,SKT_DIFF,BVP_MAX,BVP_MIN,BVP_MEAN,BVP_MEDIAN,BVP_MODE,BVP_SD,BVP_DIFF
1 -> 2,1.6846720000000008,1.6846719999999997,1.6846720000000004,1.6846720000000004,1.6846719999999997,5.661048867003676e-16,0.0,63.0,63.0,63.0,63.0,63.0,0.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,4.736951571734001e-15,55.27,50.45,53.587500000000006,54.315,50.45,1.8638451518299473,-1.3833333333333329
1 -> 2,1.6846720000000008,1.6846719999999997,1.6846720000000004,1.6846720000000004,1.6846719999999997,5.661048867003676e-16,0.0,63.0,63.0,63.0,63.0,63.0,0.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,4.736951571734001e-15,55.27,50.45,53.587500000000006,54.315,50.45,1.8638451518299473,-1.3833333333333329
1 -> 2,1.6846720000000008,1.6846719999999997,1.6846720000000004,1.6846720000000004,1.6846719999999997,5.661048867003676e-16,0.0,63.0,63.0,63.0,63.0,63.0,0.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,4.736951571734001e-15,44.29,13.53,29.6625,30.415,13.53,11.519486479439959,-10.253333333333332
1 -> 2,1.6846720000000008,1.6846719999999997,1.6846720000000004,1.6846720000000004,1.6846719999999997,5.661048867003676e-16,0.0,63.0,63.0,63.0,63.0,63.0,0.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,4.736951571734001e-15,44.29,13.53,29.6625,30.415,13.53,11.519486479439959,-10.253333333333332
1 -> 2,1.6846720000000008,1.6846719999999997,1.6846720000000004,1.6846720000000004,1.6846719999999997,5.661048867003676e-16,0.0,63.0,63.0,63.0,63.0,63.0,0.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,4.736951571734001e-15,1.64,-32.15,-15.434999999999999,-15.615,-32.15,12.590354442985312,-11.263333333333334
1 -> 2,1.6846720000000008,1.6846719999999997,1.6846720000000004,1.6846720000000004,1.6846719999999997,5.661048867003676e-16,0.0,63.0,63.0,63.0,63.0,63.0,0.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,4.736951571734001e-15,1.64,-32.15,-15.434999999999999,-15.615,-32.15,12.590354442985312,-11.263333333333334
1 -> 2,1.6846720000000008,1.6846719999999997,1.6846720000000004,1.6846720000000004,1.6846719999999997,5.661048867003676e-16,0.0,63.0,63.0,63.0,63.0,63.0,0.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,4.736951571734001e-15,-42.8,-69.64,-56.879999999999995,-57.54,-69.64,10.048482472493049,-8.946666666666667
1 -> 2,1.6846720000000008,1.6846719999999997,1.6846720000000004,1.6846720000000004,1.6846719999999997,5.661048867003676e-16,0.0,63.0,63.0,63.0,63.0,63.0,0.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,4.736951571734001e-15,-42.8,-69.64,-56.879999999999995,-57.54,-69.64,10.048482472493049,-8.946666666666667
1 -> 2,2.100879000000001,2.100879,2.100879000000001,2.100879000000001,2.100879000000001,4.965068306494546e-16,-1.4802973661668753e-16,63.0,63.0,63.0,63.0,63.0,0.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,4.736951571734001e-15,-75.12,-82.96,-79.42999999999999,-79.82,-82.96,2.9129194976861226,-2.6133333333333297
1 -> 2,2.100879000000001,2.100879,2.100879000000001,2.100879000000001,2.100879000000001,4.965068306494546e-16,-1.4802973661668753e-16,63.0,63.0,63.0,63.0,63.0,0.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,4.736951571734001e-15,-75.12,-82.96,-79.42999999999999,-79.82,-82.96,2.9129194976861226,-2.6133333333333297
