PHASE,EDA_MAX,EDA_MIN,EDA_MEAN,EDA_MEDIAN,EDA_MODE,EDA_SD,HR_MAX,HR_MIN,HR_MEAN,HR_MEDIAN,HR_MODE,HR_SD,SKT_MAX,SKT_MIN,SKT_MEAN,SKT_MEDIAN,SKT_MODE,SKT_SD,BVP_MAX,BVP_MIN,BVP_MEAN,BVP_MEDIAN,BVP_MODE,BVP_SD
1 -> 2,1.962216000000001,1.9622160000000002,1.9622160000000006,1.9622160000000008,1.9622160000000008,3.510833468576701e-16,59.0,59.0,59.0,59.0,59.0,0.0,35.030000000000015,35.029999999999994,35.03000000000001,35.03000000000001,35.030000000000015,9.39959687352353e-15,1.57,1.19,1.355,1.33,1.19,0.14534441853748636
1 -> 2,1.962216000000001,1.9622160000000002,1.9622160000000006,1.9622160000000008,1.9622160000000008,3.510833468576701e-16,59.0,59.0,59.0,59.0,59.0,0.0,35.030000000000015,35.029999999999994,35.03000000000001,35.03000000000001,35.030000000000015,9.39959687352353e-15,1.57,1.19,1.355,1.33,1.19,0.14534441853748636
1 -> 2,1.962216000000001,1.9622160000000002,1.9622160000000006,1.9622160000000008,1.9622160000000008,3.510833468576701e-16,59.0,59.0,59.0,59.0,59.0,0.0,35.030000000000015,35.029999999999994,35.03000000000001,35.03000000000001,35.030000000000015,9.39959687352353e-15,1.18,0.59,0.9624999999999999,1.04,0.59,0.23144923849518279
1 -> 2,1.962216000000001,1.9622160000000002,1.9622160000000006,1.9622160000000008,1.9622160000000008,3.510833468576701e-16,59.0,59.0,59.0,59.0,59.0,0.0,35.030000000000015,35.029999999999994,35.03000000000001,35.03000000000001,35.030000000000015,9.39959687352353e-15,1.18,0.59,0.9624999999999999,1.04,0.59,0.23144923849518279
1 -> 2,1.962216000000001,1.9622160000000002,1.9622160000000006,1.9622160000000008,1.9622160000000008,3.510833468576701e-16,59.0,59.0,59.0,59.0,59.0,0.0,35.030000000000015,35.029999999999994,35.03000000000001,35.03000000000001,35.030000000000015,9.39959687352353e-15,0.08,-1.65,-0.7875,-0.79,-1.65,0.6451114244841739
1 -> 2,1.962216000000001,1.9622160000000002,1.9622160000000006,1.9622160000000008,1.9622160000000008,3.510833468576701e-16,59.0,59.0,59.0,59.0,59.0,0.0,35.030000000000015,35.029999999999994,35.03000000000001,35.03000000000001,35.030000000000015,9.39959687352353e-15,0.08,-1.65,-0.7875,-0.79,-1.65,0.6451114244841739
1 -> 2,1.962216000000001,1.9622160000000002,1.9622160000000006,1.9622160000000008,1.9622160000000008,3.510833468576701e-16,59.0,59.0,59.0,59.0,59.0,0.0,35.030000000000015,35.029999999999994,35.03000000000001,35.03000000000001,35.030000000000015,9.39959687352353e-15,-2.26,-4.7,-3.4350000000000005,-3.39,-4.7,0.9134686639398202
1 -> 2,1.962216000000001,1.9622160000000002,1.9622160000000006,1.9622160000000008,1.9622160000000008,3.510833468576701e-16,59.0,59.0,59.0,59.0,59.0,0.0,35.030000000000015,35.029999999999994,35.03000000000001,35.03000000000001,35.030000000000015,9.39959687352353e-15,-2.26,-4.7,-3.4350000000000005,-3.39,-4.7,0.9134686639398202
1 -> 2,1.9532530000000008,1.9532529999999986,1.953253,1.953253,1.9532530000000008,1.0175362097255202e-15,59.0,59.0,59.0,59.0,59.0,0.0,35.030000000000015,35.029999999999994,35.03000000000001,35.03000000000001,35.030000000000015,9.39959687352353e-15,-5.4,-5.91,-5.665000000000001,-5.675,-5.91,0.2360614326822574
1 -> 2,1.9532530000000008,1.9532529999999986,1.953253,1.953253,1.9532530000000008,1.0175362097255202e-15,59.0,59.0,59.0,59.0,59.0,0.0,35.030000000000015,35.029999999999994,35.03000000000001,35.03000000000001,35.030000000000015,9.39959687352353e-15,-5.4,-5.91,-5.665000000000001,-5.675,-5.91,0.2360614326822574
