PHASE,EDA_MAX,EDA_MIN,EDA_MEAN,EDA_MEDIAN,EDA_MODE,EDA_SD,HR_MAX,HR_MIN,HR_MEAN,HR_MEDIAN,HR_MODE,HR_SD,SKT_MAX,SKT_MIN,SKT_MEAN,SKT_MEDIAN,SKT_MODE,SKT_SD,BVP_MAX,BVP_MIN,BVP_MEAN,BVP_MEDIAN,BVP_MODE,BVP_SD
1 -> 2,0.3035110000000001,0.30351099999999986,0.303511,0.303511,0.3035110000000001,1.0007415106216802e-16,86.0,86.0,86.0,86.0,86.0,0.0,32.59000000000002,32.58999999999999,32.59,32.59,32.58999999999999,1.4210854715202004e-14,-48.79,-73.54,-61.5025,-61.84,-73.54,9.317146491818193
1 -> 2,0.3035110000000001,0.30351099999999986,0.303511,0.303511,0.3035110000000001,1.0007415106216802e-16,86.0,86.0,86.0,86.0,86.0,0.0,32.59000000000002,32.58999999999999,32.59,32.59,32.58999999999999,1.4210854715202004e-14,-48.79,-73.54,-61.5025,-61.84,-73.54,9.317146491818193
1 -> 2,0.3035110000000001,0.30351099999999986,0.303511,0.303511,0.3035110000000001,1.0007415106216802e-16,86.0,86.0,86.0,86.0,86.0,0.0,32.59000000000002,32.58999999999999,32.59,32.59,32.58999999999999,1.4210854715202004e-14,-40.07,-76.17,-61.897499999999994,-65.675,-76.17,14.00622607093003
1 -> 2,0.3035110000000001,0.30351099999999986,0.303511,0.303511,0.3035110000000001,1.0007415106216802e-16,86.0,86.0,86.0,86.0,86.0,0.0,32.59000000000002,32.58999999999999,32.59,32.59,32.58999999999999,1.4210854715202004e-14,-40.07,-76.17,-61.897499999999994,-65.675,-76.17,14.00622607093003
1 -> 2,0.3035110000000001,0.30351099999999986,0.303511,0.303511,0.3035110000000001,1.0007415106216802e-16,86.0,86.0,86.0,86.0,86.0,0.0,32.59000000000002,32.58999999999999,32.59,32.59,32.58999999999999,1.4210854715202004e-14,48.7,-16.16,18.0625,19.855,-16.16,24.323190965619624
1 -> 2,0.3035110000000001,0.30351099999999986,0.303511,0.303511,0.3035110000000001,1.0007415106216802e-16,86.0,86.0,86.0,86.0,86.0,0.0,32.59000000000002,32.58999999999999,32.59,32.59,32.58999999999999,1.4210854715202004e-14,48.7,-16.16,18.0625,19.855,-16.16,24.323190965619624
1 -> 2,0.3035110000000001,0.30351099999999986,0.303511,0.303511,0.3035110000000001,1.0007415106216802e-16,86.0,86.0,86.0,86.0,86.0,0.0,32.59000000000002,32.58999999999999,32.59,32.59,32.58999999999999,1.4210854715202004e-14,69.4,60.73,66.28999999999999,67.515,60.73,3.3026126021681708
1 -> 2,0.3035110000000001,0.30351099999999986,0.303511,0.303511,0.3035110000000001,1.0007415106216802e-16,86.0,86.0,86.0,86.0,86.0,0.0,32.59000000000002,32.58999999999999,32.59,32.59,32.58999999999999,1.4210854715202004e-14,69.4,60.73,66.28999999999999,67.515,60.73,3.3026126021681708
1 -> 2,0.3022300000000001,0.30222999999999994,0.30223,0.30223,0.30222999999999994,8.777083671441753e-17,86.0,86.0,86.0,86.0,86.0,0.0,32.59000000000002,32.58999999999999,32.59,32.59,32.58999999999999,1.4210854715202004e-14,62.91,38.9,51.325,51.745000000000005,38.9,8.997317655834987
1 -> 2,0.3022300000000001,0.30222999999999994,0.30223,0.30223,0.30222999999999994,8.777083671441753e-17,86.0,86.0,86.0,86.0,86.0,0.0,32.59000000000002,32.58999999999999,32.59,32.59,32.58999999999999,1.4210854715202004e-14,62.91,38.9,51.325,51.745000000000005,38.9,8.997317655834987
