PHASE,EDA_MAX,EDA_MIN,EDA_MEAN,EDA_MEDIAN,EDA_MODE,EDA_SD,HR_MAX,HR_MIN,HR_MEAN,HR_MEDIAN,HR_MODE,HR_SD,SKT_MAX,SKT_MIN,SKT_MEAN,SKT_MEDIAN,SKT_MODE,SKT_SD,BVP_MAX,BVP_MIN,BVP_MEAN,BVP_MEDIAN,BVP_MODE,BVP_SD
1 -> 2,0.2497240000000001,0.2497239999999999,0.24972400000000003,0.24972400000000006,0.2497240000000001,9.51413198280327e-17,64.0,64.0,64.0,64.0,64.0,0.0,32.810000000000024,32.809999999999995,32.81000000000001,32.81000000000002,32.81000000000002,1.1234667099445444e-14,-87.24,-102.31,-95.51,-96.245,-102.31,5.6851868922666045
1 -> 2,0.2497240000000001,0.2497239999999999,0.24972400000000003,0.24972400000000006,0.2497240000000001,9.51413198280327e-17,64.0,64.0,64.0,64.0,64.0,0.0,32.810000000000024,32.809999999999995,32.81000000000001,32.81000000000002,32.81000000000002,1.1234667099445444e-14,-87.24,-102.31,-95.51,-96.245,-102.31,5.6851868922666045
1 -> 2,0.2497240000000001,0.2497239999999999,0.24972400000000003,0.24972400000000006,0.2497240000000001,9.51413198280327e-17,64.0,64.0,64.0,64.0,64.0,0.0,32.810000000000024,32.809999999999995,32.81000000000001,32.81000000000002,32.81000000000002,1.1234667099445444e-14,-96.27,-103.59,-100.625,-101.32,-103.59,2.8446572728537993
1 -> 2,0.2497240000000001,0.2497239999999999,0.24972400000000003,0.24972400000000006,0.2497240000000001,9.51413198280327e-17,64.0,64.0,64.0,64.0,64.0,0.0,32.810000000000024,32.809999999999995,32.81000000000001,32.81000000000002,32.81000000000002,1.1234667099445444e-14,-96.27,-103.59,-100.625,-101.32,-103.59,2.8446572728537993
1 -> 2,0.2497240000000001,0.2497239999999999,0.24972400000000003,0.24972400000000006,0.2497240000000001,9.51413198280327e-17,64.0,64.0,64.0,64.0,64.0,0.0,32.810000000000024,32.809999999999995,32.81000000000001,32.81000000000002,32.81000000000002,1.1234667099445444e-14,-85.69,-92.49,-88.6925,-88.29499999999999,-92.49,2.5547247894832035
1 -> 2,0.2497240000000001,0.2497239999999999,0.24972400000000003,0.24972400000000006,0.2497240000000001,9.51413198280327e-17,64.0,64.0,64.0,64.0,64.0,0.0,32.810000000000024,32.809999999999995,32.81000000000001,32.81000000000002,32.81000000000002,1.1234667099445444e-14,-85.69,-92.49,-88.6925,-88.29499999999999,-92.49,2.5547247894832035
1 -> 2,0.2497240000000001,0.2497239999999999,0.24972400000000003,0.24972400000000006,0.2497240000000001,9.51413198280327e-17,64.0,64.0,64.0,64.0,64.0,0.0,32.810000000000024,32.809999999999995,32.81000000000001,32.81000000000002,32.81000000000002,1.1234667099445444e-14,-70.11,-84.04,-78.06750000000001,-79.06,-84.04,5.272045973813204
1 -> 2,0.2497240000000001,0.2497239999999999,0.24972400000000003,0.24972400000000006,0.2497240000000001,9.51413198280327e-17,64.0,64.0,64.0,64.0,64.0,0.0,32.810000000000024,32.809999999999995,32.81000000000001,32.81000000000002,32.81000000000002,1.1234667099445444e-14,-70.11,-84.04,-78.06750000000001,-79.06,-84.04,5.272045973813204
1 -> 2,0.2484440000000001,0.24844399999999986,0.248444,0.24844400000000003,0.2484440000000001,1.0838898772828417e-16,64.0,64.0,64.0,64.0,64.0,0.0,32.810000000000024,32.809999999999995,32.81000000000001,32.81000000000002,32.81000000000002,1.1234667099445444e-14,-28.79,-61.39,-45.33,-45.57,-61.39,12.180287352932197
1 -> 2,0.2484440000000001,0.24844399999999986,0.248444,0.24844400000000003,0.2484440000000001,1.0838898772828417e-16,64.0,64.0,64.0,64.0,64.0,0.0,32.810000000000024,32.809999999999995,32.81000000000001,32.81000000000002,32.81000000000002,1.1234667099445444e-14,-28.79,-61.39,-45.33,-45.57,-61.39,12.180287352932197
