PHASE,EDA_MAX,EDA_MIN,EDA_MEAN,EDA_MEDIAN,EDA_MODE,EDA_SD,HR_MAX,HR_MIN,HR_MEAN,HR_MEDIAN,HR_MODE,HR_SD,SKT_MAX,SKT_MIN,SKT_MEAN,SKT_MEDIAN,SKT_MODE,SKT_SD,BVP_MAX,BVP_MIN,BVP_MEAN,BVP_MEDIAN,BVP_MODE,BVP_SD
1 -> 2,0.5568760000000003,0.5568759999999998,0.556876,0.5568760000000001,0.5568760000000003,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,-40.84,-46.87,-43.68,-43.504999999999995,-46.87,2.243156258489362
1 -> 2,0.5568760000000003,0.5568759999999998,0.556876,0.5568760000000001,0.5568760000000003,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,-40.84,-46.87,-43.68,-43.504999999999995,-46.87,2.243156258489362
1 -> 2,0.5568760000000003,0.5568759999999998,0.556876,0.5568760000000001,0.5568760000000003,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,-49.74,-54.39,-52.722500000000004,-53.379999999999995,-54.39,1.8675970523643468
1 -> 2,0.5568760000000003,0.5568759999999998,0.556876,0.5568760000000001,0.5568760000000003,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,-49.74,-54.39,-52.722500000000004,-53.379999999999995,-54.39,1.8675970523643468
1 -> 2,0.5568760000000003,0.5568759999999998,0.556876,0.5568760000000001,0.5568760000000003,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,-25.24,-51.19,-39.35,-40.485,-51.19,9.775788970717402
1 -> 2,0.5568760000000003,0.5568759999999998,0.556876,0.5568760000000001,0.5568760000000003,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,-25.24,-51.19,-39.35,-40.485,-51.19,9.775788970717402
1 -> 2,0.5568760000000003,0.5568759999999998,0.556876,0.5568760000000001,0.5568760000000003,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,8.69,-14.14,-1.4500000000000006,-0.17499999999999982,-14.14,8.630153532817362
1 -> 2,0.5568760000000003,0.5568759999999998,0.556876,0.5568760000000001,0.5568760000000003,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,8.69,-14.14,-1.4500000000000006,-0.17499999999999982,-14.14,8.630153532817362
1 -> 2,0.5555960000000002,0.5555959999999998,0.555596,0.555596,0.5555960000000002,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,10.52,2.77,7.3725,8.1,2.77,3.0195229341735423
1 -> 2,0.5555960000000002,0.5555959999999998,0.555596,0.555596,0.5555960000000002,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,10.52,2.77,7.3725,8.1,2.77,3.0195229341735423
1 -> 2,0.5555960000000002,0.5555959999999998,0.555596,0.555596,0.5555960000000002,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,-0.85,-3.89,-2.6675,-2.965,-3.89,1.1345566314644677
1 -> 2,0.5555960000000002,0.5555959999999998,0.555596,0.555596,0.5555960000000002,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,-0.85,-3.89,-2.6675,-2.965,-3.89,1.1345566314644677
1 -> 2,0.5555960000000002,0.5555959999999998,0.555596,0.555596,0.5555960000000002,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,11.53,0.06,5.762499999999999,5.73,0.06,4.294900318982968
1 -> 2,0.5555960000000002,0.5555959999999998,0.555596,0.555596,0.5555960000000002,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,11.53,0.06,5.762499999999999,5.73,0.06,4.294900318982968
1 -> 2,0.5555960000000002,0.5555959999999998,0.555596,0.555596,0.5555960000000002,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,17.97,14.69,16.845,17.36,14.69,1.3098950339626454
1 -> 2,0.5555960000000002,0.5555959999999998,0.555596,0.555596,0.5555960000000002,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,17.97,14.69,16.845,17.36,14.69,1.3098950339626454
1 -> 2,0.5568760000000003,0.5568759999999998,0.556876,0.5568760000000001,0.5568760000000003,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,16.6,9.84,13.322500000000002,13.425,9.84,2.5347226179603957
1 -> 2,0.5568760000000003,0.5568759999999998,0.556876,0.5568760000000001,0.5568760000000003,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,16.6,9.84,13.322500000000002,13.425,9.84,2.5347226179603957
1 -> 2,0.5568760000000003,0.5568759999999998,0.556876,0.5568760000000001,0.5568760000000003,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,7.57,0.27,4.085,4.25,0.27,2.713166968691754
1 -> 2,0.5568760000000003,0.5568759999999998,0.556876,0.5568760000000001,0.5568760000000003,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,7.57,0.27,4.085,4.25,0.27,2.713166968691754
1 -> 2,0.5568760000000003,0.5568759999999998,0.556876,0.5568760000000001,0.5568760000000003,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,-3.38,-18.52,-10.754999999999999,-10.56,-18.52,5.667686917958684
1 -> 2,0.5568760000000003,0.5568759999999998,0.556876,0.5568760000000001,0.5568760000000003,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,-3.38,-18.52,-10.754999999999999,-10.56,-18.52,5.667686917958684
1 -> 2,0.5568760000000003,0.5568759999999998,0.556876,0.5568760000000001,0.5568760000000003,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,-23.13,-26.85,-25.2725,-25.555,-26.85,1.407380101465131
1 -> 2,0.5568760000000003,0.5568759999999998,0.556876,0.5568760000000001,0.5568760000000003,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,-23.13,-26.85,-25.2725,-25.555,-26.85,1.407380101465131
1 -> 2,0.5581560000000002,0.5581559999999998,0.558156,0.5581560000000001,0.5581560000000002,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,1.05,-20.65,-10.2275,-10.655000000000001,-20.65,8.127516148861226
1 -> 2,0.5581560000000002,0.5581559999999998,0.558156,0.5581560000000001,0.5581560000000002,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,1.05,-20.65,-10.2275,-10.655000000000001,-20.65,8.127516148861226
1 -> 2,0.5581560000000002,0.5581559999999998,0.558156,0.5581560000000001,0.5581560000000002,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,26.15,8.81,18.122500000000002,18.765,8.81,6.504180866950118
1 -> 2,0.5581560000000002,0.5581559999999998,0.558156,0.5581560000000001,0.5581560000000002,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,26.15,8.81,18.122500000000002,18.765,8.81,6.504180866950118
1 -> 2,0.5581560000000002,0.5581559999999998,0.558156,0.5581560000000001,0.5581560000000002,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,30.34,28.96,29.637500000000003,29.625,28.96,0.6443746968961452
1 -> 2,0.5581560000000002,0.5581559999999998,0.558156,0.5581560000000001,0.5581560000000002,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,30.34,28.96,29.637500000000003,29.625,28.96,0.6443746968961452
1 -> 2,0.5581560000000002,0.5581559999999998,0.558156,0.5581560000000001,0.5581560000000002,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,26.93,20.73,23.68,23.53,20.73,2.3284222125722813
1 -> 2,0.5581560000000002,0.5581559999999998,0.558156,0.5581560000000001,0.5581560000000002,2.0014830212433605e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.79000000000001,33.78999999999999,33.790000000000006,33.790000000000006,33.79000000000001,8.702335715267317e-15,26.93,20.73,23.68,23.53,20.73,2.3284222125722813
1 -> 2,0.5594360000000003,0.5594359999999999,0.559436,0.5594360000000002,0.5594360000000003,1.6653345369377348e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.81000000000002,33.80999999999998,33.81,33.81,33.81000000000002,1.6280579355608324e-14,19.61,18.84,19.1,18.975,18.84,0.30553232234904354
1 -> 2,0.5594360000000003,0.5594359999999999,0.559436,0.5594360000000002,0.5594360000000003,1.6653345369377348e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.81000000000002,33.80999999999998,33.81,33.81,33.81000000000002,1.6280579355608324e-14,19.61,18.84,19.1,18.975,18.84,0.30553232234904354
1 -> 2,0.5594360000000003,0.5594359999999999,0.559436,0.5594360000000002,0.5594360000000003,1.6653345369377348e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.81000000000002,33.80999999999998,33.81,33.81,33.81000000000002,1.6280579355608324e-14,18.69,15.98,17.5675,17.799999999999997,15.98,1.0338610883479462
1 -> 2,0.5594360000000003,0.5594359999999999,0.559436,0.5594360000000002,0.5594360000000003,1.6653345369377348e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.81000000000002,33.80999999999998,33.81,33.81,33.81000000000002,1.6280579355608324e-14,18.69,15.98,17.5675,17.799999999999997,15.98,1.0338610883479462
1 -> 2,0.5594360000000003,0.5594359999999999,0.559436,0.5594360000000002,0.5594360000000003,1.6653345369377348e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.81000000000002,33.80999999999998,33.81,33.81,33.81000000000002,1.6280579355608324e-14,14.11,6.66,10.474999999999998,10.565000000000001,6.66,2.7831681587715824
1 -> 2,0.5594360000000003,0.5594359999999999,0.559436,0.5594360000000002,0.5594360000000003,1.6653345369377348e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.81000000000002,33.80999999999998,33.81,33.81,33.81000000000002,1.6280579355608324e-14,14.11,6.66,10.474999999999998,10.565000000000001,6.66,2.7831681587715824
1 -> 2,0.5594360000000003,0.5594359999999999,0.559436,0.5594360000000002,0.5594360000000003,1.6653345369377348e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.81000000000002,33.80999999999998,33.81,33.81,33.81000000000002,1.6280579355608324e-14,3.97,-4.98,-0.36750000000000016,-0.22999999999999998,-4.98,3.3334919753915715
1 -> 2,0.5594360000000003,0.5594359999999999,0.559436,0.5594360000000002,0.5594360000000003,1.6653345369377348e-16,61.0,61.0,61.0,61.0,61.0,0.0,33.81000000000002,33.80999999999998,33.81,33.81,33.81000000000002,1.6280579355608324e-14,3.97,-4.98,-0.36750000000000016,-0.22999999999999998,-4.98,3.3334919753915715
