PHASE,EDA_MAX,EDA_MIN,EDA_MEAN,EDA_MEDIAN,EDA_MODE,EDA_SD,EDA_DIFF,HR_MAX,HR_MIN,HR_MEAN,HR_MEDIAN,HR_MODE,HR_SD,HR_DIFF,SKT_MAX,SKT_MIN,SKT_MEAN,SKT_MEDIAN,SKT_MODE,SKT_SD,SKT_DIFF,BVP_MAX,BVP_MIN,BVP_MEAN,BVP_MEDIAN,BVP_MODE,BVP_SD,BVP_DIFF
1 -> 2,0.05891300000000005,0.058913,0.05891300000000003,0.05891300000000003,0.05891300000000003,1.734723475976807e-17,1.61907524424502e-17,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,1.81,0.81,1.3224999999999998,1.335,0.81,0.37036299761180247,-0.3333333333333333
1 -> 2,0.05891300000000005,0.058913,0.05891300000000003,0.05891300000000003,0.05891300000000003,1.734723475976807e-17,1.61907524424502e-17,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,1.81,0.81,1.3224999999999998,1.335,0.81,0.37036299761180247,-0.3333333333333333
1 -> 2,0.05891300000000005,0.058913,0.05891300000000003,0.05891300000000003,0.05891300000000003,1.734723475976807e-17,1.61907524424502e-17,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,0.31,-1.95,-0.7625,-0.7050000000000001,-1.95,0.8438416616877837,-0.7533333333333333
1 -> 2,0.05891300000000005,0.058913,0.05891300000000003,0.05891300000000003,0.05891300000000003,1.734723475976807e-17,1.61907524424502e-17,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,0.31,-1.95,-0.7625,-0.7050000000000001,-1.95,0.8438416616877837,-0.7533333333333333
1 -> 2,0.05891300000000005,0.058913,0.05891300000000003,0.05891300000000003,0.05891300000000003,1.734723475976807e-17,1.61907524424502e-17,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,-2.96,-6.25,-4.6525,-4.7,-6.25,1.2366562780336336,-1.0966666666666667
1 -> 2,0.05891300000000005,0.058913,0.05891300000000003,0.05891300000000003,0.05891300000000003,1.734723475976807e-17,1.61907524424502e-17,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,-2.96,-6.25,-4.6525,-4.7,-6.25,1.2366562780336336,-1.0966666666666667
1 -> 2,0.05891300000000005,0.058913,0.05891300000000003,0.05891300000000003,0.05891300000000003,1.734723475976807e-17,1.61907524424502e-17,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,-2.59,-6.67,-5.0825000000000005,-5.535,-6.67,1.5918758588533217,1.36
1 -> 2,0.05891300000000005,0.058913,0.05891300000000003,0.05891300000000003,0.05891300000000003,1.734723475976807e-17,1.61907524424502e-17,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,-2.59,-6.67,-5.0825000000000005,-5.535,-6.67,1.5918758588533217,1.36
1 -> 2,0.05763200000000003,0.057632,0.05763200000000002,0.05763200000000003,0.05763200000000003,1.2509268882771003e-17,6.938893903907228e-18,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,5.78,0.07,3.26,3.5949999999999998,0.07,2.161677589281066,1.9033333333333333
1 -> 2,0.05763200000000003,0.057632,0.05763200000000002,0.05763200000000003,0.05763200000000003,1.2509268882771003e-17,6.938893903907228e-18,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,5.78,0.07,3.26,3.5949999999999998,0.07,2.161677589281066,1.9033333333333333
1 -> 2,0.05763200000000003,0.057632,0.05763200000000002,0.05763200000000003,0.05763200000000003,1.2509268882771003e-17,6.938893903907228e-18,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,6.42,6.31,6.3875,6.41,6.41,0.04493050188902876,0.03333333333333351
1 -> 2,0.05763200000000003,0.057632,0.05763200000000002,0.05763200000000003,0.05763200000000003,1.2509268882771003e-17,6.938893903907228e-18,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,6.42,6.31,6.3875,6.41,6.41,0.04493050188902876,0.03333333333333351
1 -> 2,0.05763200000000003,0.057632,0.05763200000000002,0.05763200000000003,0.05763200000000003,1.2509268882771003e-17,6.938893903907228e-18,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,6.42,6.11,6.295,6.324999999999999,6.11,0.12257650672131244,-0.10333333333333321
1 -> 2,0.05763200000000003,0.057632,0.05763200000000002,0.05763200000000003,0.05763200000000003,1.2509268882771003e-17,6.938893903907228e-18,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,6.42,6.11,6.295,6.324999999999999,6.11,0.12257650672131244,-0.10333333333333321
1 -> 2,0.05763200000000003,0.057632,0.05763200000000002,0.05763200000000003,0.05763200000000003,1.2509268882771003e-17,6.938893903907228e-18,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,6.31,6.01,6.14,6.12,6.01,0.11874342087037916,0.09999999999999994
1 -> 2,0.05763200000000003,0.057632,0.05763200000000002,0.05763200000000003,0.05763200000000003,1.2509268882771003e-17,6.938893903907228e-18,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,6.31,6.01,6.14,6.12,6.01,0.11874342087037916,0.09999999999999994
1 -> 2,0.05763200000000003,0.057632,0.05763200000000002,0.05763200000000003,0.05763200000000003,1.2509268882771003e-17,6.938893903907228e-18,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,6.3,5.07,5.7675,5.85,5.07,0.46916814683011027,-0.40999999999999986
1 -> 2,0.05763200000000003,0.057632,0.05763200000000002,0.05763200000000003,0.05763200000000003,1.2509268882771003e-17,6.938893903907228e-18,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,6.3,5.07,5.7675,5.85,5.07,0.46916814683011027,-0.40999999999999986
1 -> 2,0.05763200000000003,0.057632,0.05763200000000002,0.05763200000000003,0.05763200000000003,1.2509268882771003e-17,6.938893903907228e-18,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,4.51,3.21,3.8324999999999996,3.8049999999999997,3.21,0.48272015702682225,-0.4333333333333333
1 -> 2,0.05763200000000003,0.057632,0.05763200000000002,0.05763200000000003,0.05763200000000003,1.2509268882771003e-17,6.938893903907228e-18,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,4.51,3.21,3.8324999999999996,3.8049999999999997,3.21,0.48272015702682225,-0.4333333333333333
1 -> 2,0.05763200000000003,0.057632,0.05763200000000002,0.05763200000000003,0.05763200000000003,1.2509268882771003e-17,6.938893903907228e-18,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,2.75,-0.17,1.45,1.6099999999999999,-0.17,1.098453458276681,-0.9733333333333333
1 -> 2,0.05763200000000003,0.057632,0.05763200000000002,0.05763200000000003,0.05763200000000003,1.2509268882771003e-17,6.938893903907228e-18,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,2.75,-0.17,1.45,1.6099999999999999,-0.17,1.098453458276681,-0.9733333333333333
1 -> 2,0.05763200000000003,0.057632,0.05763200000000002,0.05763200000000003,0.05763200000000003,1.2509268882771003e-17,6.938893903907228e-18,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,-1.74,-5.26,-3.7525,-4.005,-5.26,1.3516910704743152,-1.1733333333333331
1 -> 2,0.05763200000000003,0.057632,0.05763200000000002,0.05763200000000003,0.05763200000000003,1.2509268882771003e-17,6.938893903907228e-18,52.0,52.0,52.0,52.0,52.0,0.0,0.0,27.070000000000014,27.069999999999986,27.07,27.07,27.069999999999986,1.4210854715202004e-14,0.0,-1.74,-5.26,-3.7525,-4.005,-5.26,1.3516910704743152,-1.1733333333333331
