PHASE,EDA_MAX,EDA_MIN,EDA_MEAN,EDA_MEDIAN,EDA_MODE,EDA_SD,EDA_DIFF,HR_MAX,HR_MIN,HR_MEAN,HR_MEDIAN,HR_MODE,HR_SD,HR_DIFF,SKT_MAX,SKT_MIN,SKT_MEAN,SKT_MEDIAN,SKT_MODE,SKT_SD,SKT_DIFF,BVP_MAX,BVP_MIN,BVP_MEAN,BVP_MEDIAN,BVP_MODE,BVP_SD,BVP_DIFF
1 -> 2,0.04354400000000001,0.04354399999999999,0.043544000000000006,0.043544,0.04354399999999999,1.0971354589302191e-17,0.0,87.0,87.0,87.0,87.0,87.0,0.0,0.0,33.83000000000001,33.829999999999984,33.83,33.83,33.83000000000001,1.2809491335957507e-14,2.3684757858670005e-15,19.91,18.87,19.4575,19.525,18.87,0.3858351331851465,-0.1733333333333332
1 -> 2,0.04354400000000001,0.04354399999999999,0.043544000000000006,0.043544,0.04354399999999999,1.0971354589302191e-17,0.0,87.0,87.0,87.0,87.0,87.0,0.0,0.0,33.83000000000001,33.829999999999984,33.83,33.83,33.83000000000001,1.2809491335957507e-14,2.3684757858670005e-15,19.91,18.87,19.4575,19.525,18.87,0.3858351331851465,-0.1733333333333332
1 -> 2,0.04354400000000001,0.04354399999999999,0.043544000000000006,0.043544,0.04354399999999999,1.0971354589302191e-17,0.0,87.0,87.0,87.0,87.0,87.0,0.0,0.0,33.83000000000001,33.829999999999984,33.83,33.83,33.83000000000001,1.2809491335957507e-14,2.3684757858670005e-15,17.76,14.16,15.932500000000001,15.905,14.16,1.34531362514471,-1.2000000000000004
1 -> 2,0.04354400000000001,0.04354399999999999,0.043544000000000006,0.043544,0.04354399999999999,1.0971354589302191e-17,0.0,87.0,87.0,87.0,87.0,87.0,0.0,0.0,33.83000000000001,33.829999999999984,33.83,33.83,33.83000000000001,1.2809491335957507e-14,2.3684757858670005e-15,17.76,14.16,15.932500000000001,15.905,14.16,1.34531362514471,-1.2000000000000004
1 -> 2,0.04354400000000001,0.04354399999999999,0.043544000000000006,0.043544,0.04354399999999999,1.0971354589302191e-17,0.0,87.0,87.0,87.0,87.0,87.0,0.0,0.0,33.83000000000001,33.829999999999984,33.83,33.83,33.83000000000001,1.2809491335957507e-14,2.3684757858670005e-15,13.22,11.65,12.344999999999999,12.254999999999999,11.65,0.5884088714490973,-0.5233333333333334
1 -> 2,0.04354400000000001,0.04354399999999999,0.043544000000000006,0.043544,0.04354399999999999,1.0971354589302191e-17,0.0,87.0,87.0,87.0,87.0,87.0,0.0,0.0,33.83000000000001,33.829999999999984,33.83,33.83,33.83000000000001,1.2809491335957507e-14,2.3684757858670005e-15,13.22,11.65,12.344999999999999,12.254999999999999,11.65,0.5884088714490973,-0.5233333333333334
1 -> 2,0.04354400000000001,0.04354399999999999,0.043544000000000006,0.043544,0.04354399999999999,1.0971354589302191e-17,0.0,87.0,87.0,87.0,87.0,87.0,0.0,0.0,33.83000000000001,33.829999999999984,33.83,33.83,33.83000000000001,1.2809491335957507e-14,2.3684757858670005e-15,11.25,8.13,9.8825,10.075,8.13,1.1774840763254504,-1.0399999999999998
1 -> 2,0.04354400000000001,0.04354399999999999,0.043544000000000006,0.043544,0.04354399999999999,1.0971354589302191e-17,0.0,87.0,87.0,87.0,87.0,87.0,0.0,0.0,33.83000000000001,33.829999999999984,33.83,33.83,33.83000000000001,1.2809491335957507e-14,2.3684757858670005e-15,11.25,8.13,9.8825,10.075,8.13,1.1774840763254504,-1.0399999999999998
1 -> 2,0.04354400000000001,0.04354399999999999,0.043544000000000006,0.043544,0.04354399999999999,1.0971354589302191e-17,0.0,87.0,87.0,87.0,87.0,87.0,0.0,0.0,33.83000000000001,33.829999999999984,33.83,33.83,33.83000000000001,1.2809491335957507e-14,2.3684757858670005e-15,6.38,0.06,3.2800000000000002,3.34,0.06,2.3575835085951886,-2.1066666666666665
1 -> 2,0.04354400000000001,0.04354399999999999,0.043544000000000006,0.043544,0.04354399999999999,1.0971354589302191e-17,0.0,87.0,87.0,87.0,87.0,87.0,0.0,0.0,33.83000000000001,33.829999999999984,33.83,33.83,33.83000000000001,1.2809491335957507e-14,2.3684757858670005e-15,6.38,0.06,3.2800000000000002,3.34,0.06,2.3575835085951886,-2.1066666666666665
1 -> 2,0.04354400000000001,0.04354399999999999,0.043544000000000006,0.043544,0.04354399999999999,1.0971354589302191e-17,0.0,87.0,87.0,87.0,87.0,87.0,0.0,0.0,33.83000000000001,33.829999999999984,33.83,33.83,33.83000000000001,1.2809491335957507e-14,2.3684757858670005e-15,-2.29,-10.46,-6.265000000000001,-6.154999999999999,-10.46,3.045279133347221,-2.723333333333334
1 -> 2,0.04354400000000001,0.04354399999999999,0.043544000000000006,0.043544,0.04354399999999999,1.0971354589302191e-17,0.0,87.0,87.0,87.0,87.0,87.0,0.0,0.0,33.83000000000001,33.829999999999984,33.83,33.83,33.83000000000001,1.2809491335957507e-14,2.3684757858670005e-15,-2.29,-10.46,-6.265000000000001,-6.154999999999999,-10.46,3.045279133347221,-2.723333333333334
