PHASE,EDA_MAX,EDA_MIN,EDA_MEAN,EDA_MEDIAN,EDA_MODE,EDA_SD,EDA_DIFF,HR_MAX,HR_MIN,HR_MEAN,HR_MEDIAN,HR_MODE,HR_SD,HR_DIFF,SKT_MAX,SKT_MIN,SKT_MEAN,SKT_MEDIAN,SKT_MODE,SKT_SD,SKT_DIFF,BVP_MAX,BVP_MIN,BVP_MEAN,BVP_MEDIAN,BVP_MODE,BVP_SD,BVP_DIFF
1 -> 2,0.19843900000000012,0.19843899999999998,0.19843900000000003,0.19843900000000003,0.19843899999999998,7.076311083754595e-17,0.0,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,-3.95,-10.75,-7.215,-7.08,-10.75,2.5392961623253005,-2.2666666666666666
1 -> 2,0.19843900000000012,0.19843899999999998,0.19843900000000003,0.19843900000000003,0.19843899999999998,7.076311083754595e-17,0.0,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,-3.95,-10.75,-7.215,-7.08,-10.75,2.5392961623253005,-2.2666666666666666
1 -> 2,0.19843900000000012,0.19843899999999998,0.19843900000000003,0.19843900000000003,0.19843899999999998,7.076311083754595e-17,0.0,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,-13.36,-18.93,-16.43,-16.715,-18.93,2.1012734234268517,-1.8566666666666667
1 -> 2,0.19843900000000012,0.19843899999999998,0.19843900000000003,0.19843900000000003,0.19843899999999998,7.076311083754595e-17,0.0,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,-13.36,-18.93,-16.43,-16.715,-18.93,2.1012734234268517,-1.8566666666666667
1 -> 2,0.19843900000000012,0.19843899999999998,0.19843900000000003,0.19843900000000003,0.19843899999999998,7.076311083754595e-17,0.0,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,-19.58,-21.4,-20.322499999999998,-20.155,-21.4,0.6853603067000594,-0.6066666666666668
1 -> 2,0.19843900000000012,0.19843899999999998,0.19843900000000003,0.19843900000000003,0.19843899999999998,7.076311083754595e-17,0.0,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,-19.58,-21.4,-20.322499999999998,-20.155,-21.4,0.6853603067000594,-0.6066666666666668
1 -> 2,0.19843900000000012,0.19843899999999998,0.19843900000000003,0.19843900000000003,0.19843899999999998,7.076311083754595e-17,0.0,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,-23.17,-31.0,-27.0775,-27.07,-31.0,2.942400168230011,-2.6099999999999994
1 -> 2,0.19843900000000012,0.19843899999999998,0.19843900000000003,0.19843900000000003,0.19843899999999998,7.076311083754595e-17,0.0,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,-23.17,-31.0,-27.0775,-27.07,-31.0,2.942400168230011,-2.6099999999999994
1 -> 2,0.1933180000000001,0.193318,0.19331800000000005,0.19331800000000005,0.193318,5.551115123125783e-17,0.0,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,-26.09,-32.51,-30.295,-31.29,-32.51,2.5933135174907016,2.1399999999999992
1 -> 2,0.1933180000000001,0.193318,0.19331800000000005,0.19331800000000005,0.193318,5.551115123125783e-17,0.0,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,-26.09,-32.51,-30.295,-31.29,-32.51,2.5933135174907016,2.1399999999999992
1 -> 2,0.1933180000000001,0.193318,0.19331800000000005,0.19331800000000005,0.193318,5.551115123125783e-17,0.0,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,-3.25,-20.49,-11.559999999999999,-11.25,-20.49,6.458974376787695,5.746666666666666
1 -> 2,0.1933180000000001,0.193318,0.19331800000000005,0.19331800000000005,0.193318,5.551115123125783e-17,0.0,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,-3.25,-20.49,-11.559999999999999,-11.25,-20.49,6.458974376787695,5.746666666666666
1 -> 2,0.1933180000000001,0.193318,0.19331800000000005,0.19331800000000005,0.193318,5.551115123125783e-17,0.0,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,6.31,0.44,3.615,3.855,0.44,2.182939531915623,1.9566666666666668
1 -> 2,0.1933180000000001,0.193318,0.19331800000000005,0.19331800000000005,0.193318,5.551115123125783e-17,0.0,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,6.31,0.44,3.615,3.855,0.44,2.182939531915623,1.9566666666666668
1 -> 2,0.1933180000000001,0.193318,0.19331800000000005,0.19331800000000005,0.193318,5.551115123125783e-17,0.0,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,12.99,7.98,10.585,10.685,7.98,1.881256229225567,1.67
1 -> 2,0.1933180000000001,0.193318,0.19331800000000005,0.19331800000000005,0.193318,5.551115123125783e-17,0.0,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,12.99,7.98,10.585,10.685,7.98,1.881256229225567,1.67
1 -> 2,0.1971590000000001,0.19715899999999992,0.19715900000000003,0.19715900000000003,0.1971590000000001,8.554842949272357e-17,1.850371707708594e-17,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,13.98,12.97,13.5975,13.72,12.97,0.3828429834801729,-0.27999999999999997
1 -> 2,0.1971590000000001,0.19715899999999992,0.19715900000000003,0.19715900000000003,0.1971590000000001,8.554842949272357e-17,1.850371707708594e-17,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,13.98,12.97,13.5975,13.72,12.97,0.3828429834801729,-0.27999999999999997
1 -> 2,0.1971590000000001,0.19715899999999992,0.19715900000000003,0.19715900000000003,0.1971590000000001,8.554842949272357e-17,1.850371707708594e-17,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,12.25,10.9,11.4975,11.42,10.9,0.5079554606459113,-0.4499999999999999
1 -> 2,0.1971590000000001,0.19715899999999992,0.19715900000000003,0.19715900000000003,0.1971590000000001,8.554842949272357e-17,1.850371707708594e-17,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,12.25,10.9,11.4975,11.42,10.9,0.5079554606459113,-0.4499999999999999
1 -> 2,0.1971590000000001,0.19715899999999992,0.19715900000000003,0.19715900000000003,0.1971590000000001,8.554842949272357e-17,1.850371707708594e-17,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,10.71,10.13,10.440000000000001,10.46,10.13,0.2156385865284784,-0.19333333333333336
1 -> 2,0.1971590000000001,0.19715899999999992,0.19715900000000003,0.19715900000000003,0.1971590000000001,8.554842949272357e-17,1.850371707708594e-17,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,10.71,10.13,10.440000000000001,10.46,10.13,0.2156385865284784,-0.19333333333333336
1 -> 2,0.1971590000000001,0.19715899999999992,0.19715900000000003,0.19715900000000003,0.1971590000000001,8.554842949272357e-17,1.850371707708594e-17,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,9.83,7.89,8.9875,9.115,7.89,0.7302182892806782,-0.6466666666666668
1 -> 2,0.1971590000000001,0.19715899999999992,0.19715900000000003,0.19715900000000003,0.1971590000000001,8.554842949272357e-17,1.850371707708594e-17,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,9.83,7.89,8.9875,9.115,7.89,0.7302182892806782,-0.6466666666666668
1 -> 2,0.1945980000000001,0.1945979999999999,0.19459800000000002,0.19459800000000002,0.1945980000000001,9.100274040305112e-17,-9.25185853854297e-18,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,6.58,1.01,3.865,3.9350000000000005,1.01,2.085335704389104,-1.8566666666666667
1 -> 2,0.1945980000000001,0.1945979999999999,0.19459800000000002,0.19459800000000002,0.1945980000000001,9.100274040305112e-17,-9.25185853854297e-18,85.0,85.0,85.0,85.0,85.0,0.0,0.0,27.270000000000014,27.269999999999985,27.27,27.27,27.269999999999985,1.4210854715202004e-14,0.0,6.58,1.01,3.865,3.9350000000000005,1.01,2.085335704389104,-1.8566666666666667
