PHASE,EDA_MAX,EDA_MIN,EDA_MEAN,EDA_MEDIAN,EDA_MODE,EDA_SD,EDA_DIFF,HR_MAX,HR_MIN,HR_MEAN,HR_MEDIAN,HR_MODE,HR_SD,HR_DIFF,SKT_MAX,SKT_MIN,SKT_MEAN,SKT_MEDIAN,SKT_MODE,SKT_SD,SKT_DIFF,BVP_MAX,BVP_MIN,BVP_MEAN,BVP_MEDIAN,BVP_MODE,BVP_SD,BVP_DIFF
1 -> 2,0.7454180000000002,0.7454179999999997,0.745418,0.745418,0.7454180000000002,2.5438405243138006e-16,3.700743415417188e-17,55.0,55.0,55.0,55.0,55.0,0.0,0.0,34.930000000000014,34.92999999999997,34.93,34.93,34.930000000000014,1.879919374704706e-14,-4.736951571734001e-15,-40.96,-52.03,-47.9,-49.305,-52.03,4.354015388121636,-3.69
1 -> 2,0.7454180000000002,0.7454179999999997,0.745418,0.745418,0.7454180000000002,2.5438405243138006e-16,3.700743415417188e-17,55.0,55.0,55.0,55.0,55.0,0.0,0.0,34.930000000000014,34.92999999999997,34.93,34.93,34.930000000000014,1.879919374704706e-14,-4.736951571734001e-15,-40.96,-52.03,-47.9,-49.305,-52.03,4.354015388121636,-3.69
1 -> 2,0.7454180000000002,0.7454179999999997,0.745418,0.745418,0.7454180000000002,2.5438405243138006e-16,3.700743415417188e-17,55.0,55.0,55.0,55.0,55.0,0.0,0.0,34.930000000000014,34.92999999999997,34.93,34.93,34.930000000000014,1.879919374704706e-14,-4.736951571734001e-15,-36.71,-50.51,-44.145,-44.68,-50.51,5.193382808921367,4.599999999999999
1 -> 2,0.7454180000000002,0.7454179999999997,0.745418,0.745418,0.7454180000000002,2.5438405243138006e-16,3.700743415417188e-17,55.0,55.0,55.0,55.0,55.0,0.0,0.0,34.930000000000014,34.92999999999997,34.93,34.93,34.930000000000014,1.879919374704706e-14,-4.736951571734001e-15,-36.71,-50.51,-44.145,-44.68,-50.51,5.193382808921367,4.599999999999999
1 -> 2,0.7454180000000002,0.7454179999999997,0.745418,0.745418,0.7454180000000002,2.5438405243138006e-16,3.700743415417188e-17,55.0,55.0,55.0,55.0,55.0,0.0,0.0,34.930000000000014,34.92999999999997,34.93,34.93,34.930000000000014,1.879919374704706e-14,-4.736951571734001e-15,-14.18,-30.88,-22.46,-22.39,-30.88,6.218918716304306,5.566666666666666
1 -> 2,0.7454180000000002,0.7454179999999997,0.745418,0.745418,0.7454180000000002,2.5438405243138006e-16,3.700743415417188e-17,55.0,55.0,55.0,55.0,55.0,0.0,0.0,34.930000000000014,34.92999999999997,34.93,34.93,34.930000000000014,1.879919374704706e-14,-4.736951571734001e-15,-14.18,-30.88,-22.46,-22.39,-30.88,6.218918716304306,5.566666666666666
1 -> 2,0.7454180000000002,0.7454179999999997,0.745418,0.745418,0.7454180000000002,2.5438405243138006e-16,3.700743415417188e-17,55.0,55.0,55.0,55.0,55.0,0.0,0.0,34.930000000000014,34.92999999999997,34.93,34.93,34.930000000000014,1.879919374704706e-14,-4.736951571734001e-15,11.63,-8.51,1.3050000000000004,1.0500000000000003,-8.51,7.517547804969384,6.713333333333334
1 -> 2,0.7454180000000002,0.7454179999999997,0.745418,0.745418,0.7454180000000002,2.5438405243138006e-16,3.700743415417188e-17,55.0,55.0,55.0,55.0,55.0,0.0,0.0,34.930000000000014,34.92999999999997,34.93,34.93,34.930000000000014,1.879919374704706e-14,-4.736951571734001e-15,11.63,-8.51,1.3050000000000004,1.0500000000000003,-8.51,7.517547804969384,6.713333333333334
1 -> 2,0.7441380000000002,0.7441379999999997,0.7441380000000001,0.744138,0.7441380000000002,2.1499376424746292e-16,3.700743415417188e-17,55.0,55.0,55.0,55.0,55.0,0.0,0.0,34.930000000000014,34.92999999999997,34.93,34.93,34.930000000000014,1.879919374704706e-14,-4.736951571734001e-15,34.78,18.8,27.4175,28.045,18.8,5.997692785563462,5.326666666666667
1 -> 2,0.7441380000000002,0.7441379999999997,0.7441380000000001,0.744138,0.7441380000000002,2.1499376424746292e-16,3.700743415417188e-17,55.0,55.0,55.0,55.0,55.0,0.0,0.0,34.930000000000014,34.92999999999997,34.93,34.93,34.930000000000014,1.879919374704706e-14,-4.736951571734001e-15,34.78,18.8,27.4175,28.045,18.8,5.997692785563462,5.326666666666667
