PHASE,EDA_MAX,EDA_MIN,EDA_MEAN,EDA_MEDIAN,EDA_MODE,EDA_SD,HR_MAX,HR_MIN,HR_MEAN,HR_MEDIAN,HR_MODE,HR_SD,SKT_MAX,SKT_MIN,SKT_MEAN,SKT_MEDIAN,SKT_MODE,SKT_SD,BVP_MAX,BVP_MIN,BVP_MEAN,BVP_MEDIAN,BVP_MODE,BVP_SD
1 -> 2,0.7210480000000002,0.721048,0.7210480000000001,0.7210480000000001,0.7210480000000002,9.614813431917819e-17,62.0,62.0,62.0,62.0,62.0,0.0,30.050000000000015,30.049999999999983,30.049999999999997,30.05,30.050000000000015,1.5383701491068513e-14,26.82,9.72,19.015,19.759999999999998,9.72,6.462006267406431
1 -> 2,0.7210480000000002,0.721048,0.7210480000000001,0.7210480000000001,0.7210480000000002,9.614813431917819e-17,62.0,62.0,62.0,62.0,62.0,0.0,30.050000000000015,30.049999999999983,30.049999999999997,30.05,30.050000000000015,1.5383701491068513e-14,26.82,9.72,19.015,19.759999999999998,9.72,6.462006267406431
1 -> 2,0.7210480000000002,0.721048,0.7210480000000001,0.7210480000000001,0.7210480000000002,9.614813431917819e-17,62.0,62.0,62.0,62.0,62.0,0.0,30.050000000000015,30.049999999999983,30.049999999999997,30.05,30.050000000000015,1.5383701491068513e-14,3.64,-0.57,1.08,0.625,-0.57,1.617977132100451
1 -> 2,0.7210480000000002,0.721048,0.7210480000000001,0.7210480000000001,0.7210480000000002,9.614813431917819e-17,62.0,62.0,62.0,62.0,62.0,0.0,30.050000000000015,30.049999999999983,30.049999999999997,30.05,30.050000000000015,1.5383701491068513e-14,3.64,-0.57,1.08,0.625,-0.57,1.617977132100451
1 -> 2,0.7210480000000002,0.721048,0.7210480000000001,0.7210480000000001,0.7210480000000002,9.614813431917819e-17,62.0,62.0,62.0,62.0,62.0,0.0,30.050000000000015,30.049999999999983,30.049999999999997,30.05,30.050000000000015,1.5383701491068513e-14,5.64,3.87,4.8475,4.9399999999999995,3.87,0.7945871569563656
1 -> 2,0.7210480000000002,0.721048,0.7210480000000001,0.7210480000000001,0.7210480000000002,9.614813431917819e-17,62.0,62.0,62.0,62.0,62.0,0.0,30.050000000000015,30.049999999999983,30.049999999999997,30.05,30.050000000000015,1.5383701491068513e-14,5.64,3.87,4.8475,4.9399999999999995,3.87,0.7945871569563656
1 -> 2,0.7210480000000002,0.721048,0.7210480000000001,0.7210480000000001,0.7210480000000002,9.614813431917819e-17,62.0,62.0,62.0,62.0,62.0,0.0,30.050000000000015,30.049999999999983,30.049999999999997,30.05,30.050000000000015,1.5383701491068513e-14,4.64,2.05,3.0649999999999995,2.785,2.05,0.9623019276713519
1 -> 2,0.7210480000000002,0.721048,0.7210480000000001,0.7210480000000001,0.7210480000000002,9.614813431917819e-17,62.0,62.0,62.0,62.0,62.0,0.0,30.050000000000015,30.049999999999983,30.049999999999997,30.05,30.050000000000015,1.5383701491068513e-14,4.64,2.05,3.0649999999999995,2.785,2.05,0.9623019276713519
1 -> 2,0.7172080000000002,0.7172079999999996,0.717208,0.717208,0.7172080000000002,2.5438405243138006e-16,62.0,62.0,62.0,62.0,62.0,0.0,30.050000000000015,30.049999999999983,30.049999999999997,30.05,30.050000000000015,1.5383701491068513e-14,5.77,-7.02,1.0025,2.63,-7.02,5.0321783305045935
1 -> 2,0.7172080000000002,0.7172079999999996,0.717208,0.717208,0.7172080000000002,2.5438405243138006e-16,62.0,62.0,62.0,62.0,62.0,0.0,30.050000000000015,30.049999999999983,30.049999999999997,30.05,30.050000000000015,1.5383701491068513e-14,5.77,-7.02,1.0025,2.63,-7.02,5.0321783305045935
