PHASE,EDA_MAX,EDA_MIN,EDA_MEAN,EDA_MEDIAN,EDA_MODE,EDA_SD,HR_MAX,HR_MIN,HR_MEAN,HR_MEDIAN,HR_MODE,HR_SD,SKT_MAX,SKT_MIN,SKT_MEAN,SKT_MEDIAN,SKT_MODE,SKT_SD,BVP_MAX,BVP_MIN,BVP_MEAN,BVP_MEDIAN,BVP_MODE,BVP_SD
1 -> 2,1.563528000000001,1.5635279999999991,1.5635280000000003,1.5635280000000003,1.563528000000001,8.527784864785346e-16,76.0,76.0,76.0,76.0,76.0,0.0,35.16000000000001,35.15999999999998,35.16,35.16,35.16000000000001,1.2809491335957507e-14,14.05,7.4,10.4875,10.25,7.4,2.5037309659785736
1 -> 2,1.563528000000001,1.5635279999999991,1.5635280000000003,1.5635280000000003,1.563528000000001,8.527784864785346e-16,76.0,76.0,76.0,76.0,76.0,0.0,35.16000000000001,35.15999999999998,35.16,35.16,35.16000000000001,1.2809491335957507e-14,14.05,7.4,10.4875,10.25,7.4,2.5037309659785736
1 -> 2,1.563528000000001,1.5635279999999991,1.5635280000000003,1.5635280000000003,1.563528000000001,8.527784864785346e-16,76.0,76.0,76.0,76.0,76.0,0.0,35.16000000000001,35.15999999999998,35.16,35.16,35.16000000000001,1.2809491335957507e-14,18.08,16.43,17.26,17.265,16.43,0.7537572553547992
1 -> 2,1.563528000000001,1.5635279999999991,1.5635280000000003,1.5635280000000003,1.563528000000001,8.527784864785346e-16,76.0,76.0,76.0,76.0,76.0,0.0,35.16000000000001,35.15999999999998,35.16,35.16,35.16000000000001,1.2809491335957507e-14,18.08,16.43,17.26,17.265,16.43,0.7537572553547992
1 -> 2,1.563528000000001,1.5635279999999991,1.5635280000000003,1.5635280000000003,1.563528000000001,8.527784864785346e-16,76.0,76.0,76.0,76.0,76.0,0.0,35.16000000000001,35.15999999999998,35.16,35.16,35.16000000000001,1.2809491335957507e-14,13.6,0.89,7.265,7.285,0.89,4.763509735478663
1 -> 2,1.563528000000001,1.5635279999999991,1.5635280000000003,1.5635280000000003,1.563528000000001,8.527784864785346e-16,76.0,76.0,76.0,76.0,76.0,0.0,35.16000000000001,35.15999999999998,35.16,35.16,35.16000000000001,1.2809491335957507e-14,13.6,0.89,7.265,7.285,0.89,4.763509735478663
1 -> 2,1.563528000000001,1.5635279999999991,1.5635280000000003,1.5635280000000003,1.563528000000001,8.527784864785346e-16,76.0,76.0,76.0,76.0,76.0,0.0,35.16000000000001,35.15999999999998,35.16,35.16,35.16000000000001,1.2809491335957507e-14,-2.44,-6.72,-4.99,-5.4,-6.72,1.637788142587435
1 -> 2,1.563528000000001,1.5635279999999991,1.5635280000000003,1.5635280000000003,1.563528000000001,8.527784864785346e-16,76.0,76.0,76.0,76.0,76.0,0.0,35.16000000000001,35.15999999999998,35.16,35.16,35.16000000000001,1.2809491335957507e-14,-2.44,-6.72,-4.99,-5.4,-6.72,1.637788142587435
1 -> 2,1.5648080000000009,1.5648079999999998,1.5648080000000004,1.5648080000000004,1.5648080000000009,5.087681048627601e-16,76.0,76.0,76.0,76.0,76.0,0.0,35.16000000000001,35.15999999999998,35.16,35.16,35.16000000000001,1.2809491335957507e-14,-5.25,-6.92,-6.2825,-6.48,-6.92,0.6512056126907998
1 -> 2,1.5648080000000009,1.5648079999999998,1.5648080000000004,1.5648080000000004,1.5648080000000009,5.087681048627601e-16,76.0,76.0,76.0,76.0,76.0,0.0,35.16000000000001,35.15999999999998,35.16,35.16,35.16000000000001,1.2809491335957507e-14,-5.25,-6.92,-6.2825,-6.48,-6.92,0.6512056126907998
