TIME,EDA,HR,TEMP
14:58:46,0.198499,64.0,33.05
14:58:46,0.20106,64.0,33.05
14:58:46,0.20234100000000002,64.0,33.05
14:58:46,0.20106,64.0,33.05
14:58:47,0.20106,61.0,33.03
14:58:47,0.203621,61.0,33.03
14:58:47,0.20234100000000002,61.0,33.03
14:58:47,0.20234100000000002,61.0,33.03
14:58:48,0.19977899999999998,60.33,33.03
14:58:48,0.19977899999999998,60.33,33.03
14:58:48,0.19209600000000002,60.33,33.03
14:58:48,0.190815,60.33,33.03
14:58:49,0.18953399999999998,59.0,33.03
14:58:49,0.19209600000000002,59.0,33.03
14:58:49,0.193376,59.0,33.03
14:58:49,0.193376,59.0,33.03
14:58:50,0.193376,64.2,33.0
14:58:50,0.195937,64.2,33.0
14:58:50,0.197218,64.2,33.0
14:58:50,0.197218,64.2,33.0
14:58:51,0.198499,68.17,33.03
14:58:51,0.197218,68.17,33.03
14:58:51,0.19977899999999998,68.17,33.03
14:58:51,0.198499,68.17,33.03
14:58:52,0.19977899999999998,70.86,33.03
14:58:52,0.20106,70.86,33.03
14:58:52,0.19977899999999998,70.86,33.03
14:58:52,0.19977899999999998,70.86,33.03
14:58:53,0.19977899999999998,73.0,33.05
14:58:53,0.20234100000000002,73.0,33.05
14:58:53,0.20106,73.0,33.05
14:58:53,0.20234100000000002,73.0,33.05
14:58:54,0.20106,74.56,33.05
14:58:54,0.203621,74.56,33.05
14:58:54,0.20234100000000002,74.56,33.05
14:58:54,0.20234100000000002,74.56,33.05
14:58:55,0.20234100000000002,75.6,33.03
14:58:55,0.204902,75.6,33.03
14:58:55,0.203621,75.6,33.03
14:58:55,0.203621,75.6,33.03
14:58:56,0.204902,76.55,33.0
14:58:56,0.20234100000000002,76.55,33.0
14:58:56,0.207463,76.55,33.0
14:58:56,0.21258600000000002,76.55,33.0
14:58:57,0.22923400000000002,77.33,33.03
14:58:57,0.25356599999999996,77.33,33.03
14:58:57,0.26765300000000003,77.33,33.03
14:58:57,0.268934,77.33,33.03
14:58:58,0.266373,78.23,33.09
14:58:58,0.263811,78.23,33.09
14:58:58,0.26125,78.23,33.09
14:58:58,0.262531,78.23,33.09
14:58:59,0.26125,79.0,33.09
14:58:59,0.254847,79.0,33.09
14:58:59,0.24716300000000002,79.0,33.09
14:58:59,0.24588200000000002,79.0,33.09
14:59:00,0.24204,79.67,33.07
14:59:00,0.24204,79.67,33.07
14:59:00,0.24076,79.67,33.07
14:59:00,0.238198,79.67,33.07
14:59:01,0.239479,80.19,33.05
14:59:01,0.239479,80.19,33.05
14:59:01,0.238198,80.19,33.05
14:59:01,0.238198,80.19,33.05
14:59:02,0.239479,81.06,33.05
14:59:02,0.238198,81.06,33.05
14:59:02,0.24076,81.06,33.05
14:59:02,0.24460199999999999,81.06,33.05
14:59:03,0.248444,81.83,33.07
14:59:03,0.25100500000000003,81.83,33.07
14:59:03,0.25100500000000003,81.83,33.07
14:59:03,0.248444,81.83,33.07
14:59:04,0.248444,82.37,33.07
14:59:04,0.248444,82.37,33.07
14:59:04,0.24972399999999997,82.37,33.07
14:59:04,0.248444,82.37,33.07
14:59:05,0.24716300000000002,82.75,33.05
14:59:05,0.24972399999999997,82.75,33.05
14:59:05,0.248444,82.75,33.05
14:59:05,0.24972399999999997,82.75,33.05
14:59:06,0.248444,83.14,33.07
14:59:06,0.24972399999999997,83.14,33.07
14:59:06,0.24716300000000002,83.14,33.07
14:59:06,0.24972399999999997,83.14,33.07
14:59:07,0.24972399999999997,83.5,33.09
14:59:07,0.24972399999999997,83.5,33.09
14:59:07,0.248444,83.5,33.09
14:59:07,0.248444,83.5,33.09
14:59:08,0.248444,83.43,33.07
14:59:08,0.248444,83.43,33.07
14:59:08,0.248444,83.43,33.07
14:59:08,0.248444,83.43,33.07
14:59:09,0.24972399999999997,83.54,33.09
14:59:09,0.25100500000000003,83.54,33.09
14:59:09,0.24716300000000002,83.54,33.09
14:59:09,0.24076,83.54,33.09
14:59:10,0.230515,83.28,33.07
14:59:10,0.234357,83.28,33.07
14:59:10,0.23307600000000003,83.28,33.07
14:59:10,0.23179499999999997,83.28,33.07
14:59:11,0.23179499999999997,83.15,33.05
