TIME,EDA,HR,TEMP,PHASE
13:38:50,1.6096139999999999,82.89,35.15,1-2
13:38:50,1.6096139999999999,82.89,35.15,1-2
13:38:50,1.608334,82.89,35.15,1-2
13:38:50,1.6096139999999999,82.89,35.15,1-2
13:38:51,1.608334,84.4,35.15,1-2
13:38:51,1.608334,84.4,35.15,1-2
13:38:51,1.6134549999999999,84.4,35.15,1-2
13:38:51,1.6134549999999999,84.4,35.15,1-2
13:38:52,1.6134549999999999,85.73,35.13,1-2
13:38:52,1.6134549999999999,85.73,35.13,1-2
13:38:52,1.618576,85.73,35.13,1-2
13:38:52,1.616015,85.73,35.13,1-2
13:38:53,1.614735,86.83,35.15,1-2
13:38:53,1.6134549999999999,86.83,35.15,1-2
13:38:53,1.612175,86.83,35.15,1-2
13:38:53,1.608334,86.83,35.15,1-2
13:38:54,1.607054,87.62,35.13,1-2
13:38:54,1.605774,87.62,35.13,1-2
13:38:54,1.604494,87.62,35.13,1-2
13:38:54,1.605774,87.62,35.13,1-2
13:38:55,1.600653,88.36,35.15,1-2
13:38:55,1.599373,88.36,35.15,1-2
13:38:55,1.598093,88.36,35.15,1-2
13:38:55,1.594252,88.36,35.15,1-2
13:38:56,1.595533,89.0,35.16,1-2
13:38:56,1.5968129999999998,89.0,35.16,1-2
13:38:56,1.5929719999999998,89.0,35.16,1-2
13:38:56,1.591692,89.0,35.16,1-2
13:38:57,1.587852,89.56,35.15,1-2
13:38:57,1.589132,89.56,35.15,1-2
13:38:57,1.587852,89.56,35.15,1-2
13:38:57,1.586571,89.56,35.15,1-2
13:38:58,1.585291,90.0,35.15,1-2
13:38:58,1.585291,90.0,35.15,1-2
13:38:58,1.5827309999999999,90.0,35.15,1-2
13:38:58,1.586571,90.0,35.15,1-2
13:38:59,1.581451,90.33,35.15,1-2
13:38:59,1.5827309999999999,90.33,35.15,1-2
13:38:59,1.57761,90.33,35.15,1-2
13:38:59,1.57633,90.33,35.15,1-2
13:39:00,1.57633,90.53,35.15,1-2
13:39:00,1.5737700000000001,90.53,35.15,1-2
13:39:00,1.5699290000000001,90.53,35.15,1-2
13:39:00,1.5699290000000001,90.53,35.15,1-2
13:39:01,1.571209,90.7,35.13,1-2
13:39:01,1.571209,90.7,35.13,1-2
13:39:01,1.568649,90.7,35.13,1-2
13:39:01,1.5660889999999998,90.7,35.13,1-2
13:39:02,1.563528,90.81,35.13,1-2
13:39:02,1.5660889999999998,90.81,35.13,1-2
13:39:02,1.5609680000000001,90.81,35.13,1-2
13:39:02,1.559688,90.81,35.13,1-2
13:39:03,1.559688,90.91,35.13,1-2
13:39:03,1.554567,90.91,35.13,1-2
13:39:03,1.554567,90.91,35.13,1-2
13:39:03,1.552007,90.91,35.13,1-2
13:39:04,1.548166,91.04,35.13,1-2
13:39:04,1.546886,91.04,35.13,1-2
13:39:04,1.543045,91.04,35.13,1-2
13:39:04,1.544325,91.04,35.13,1-2
13:39:05,1.541765,91.21,35.15,1-2
13:39:05,1.540485,91.21,35.15,1-2
13:39:05,1.540485,91.21,35.15,1-2
13:39:05,1.540485,91.21,35.15,1-2
13:39:06,1.539205,91.4,35.15,1-2
13:39:06,1.5366440000000001,91.4,35.15,1-2
13:39:06,1.534084,91.4,35.15,1-2
13:39:06,1.532804,91.4,35.15,1-2
13:39:07,1.540485,91.58,35.16,1-2
13:39:07,1.5571270000000001,91.58,35.16,1-2
13:39:07,1.57889,91.58,35.16,1-2
13:39:07,1.604494,91.58,35.16,1-2
13:39:08,1.627537,91.78,35.15,1-2
13:39:08,1.6390580000000001,91.78,35.15,1-2
13:39:08,1.6493,91.78,35.15,1-2
13:39:08,1.645459,91.78,35.15,1-2
13:39:09,1.642899,91.96,35.16,1-2
13:39:09,1.637778,91.96,35.16,1-2
13:39:09,1.637778,91.96,35.16,1-2
13:39:09,1.604494,91.96,35.16,1-2
13:39:10,1.50336,92.14,35.15,1-2
13:39:10,1.540485,92.14,35.15,1-2
13:39:10,1.545606,92.14,35.15,1-2
13:39:10,1.5366440000000001,92.14,35.15,1-2
13:39:11,1.5315239999999999,92.27,35.16,1-2
13:39:11,1.5289629999999998,92.27,35.16,1-2
13:39:11,1.5289629999999998,92.27,35.16,1-2
13:39:11,1.520002,92.27,35.16,1-2
13:39:12,1.520002,92.45,35.15,1-2
13:39:12,1.516162,92.45,35.15,1-2
13:39:12,1.516162,92.45,35.15,1-2
13:39:12,1.516162,92.45,35.15,1-2
13:39:13,1.5097610000000001,92.62,35.13,1-2
13:39:13,1.5072,92.62,35.13,1-2
13:39:13,1.50336,92.62,35.13,1-2
13:39:13,1.5008,92.62,35.13,1-2
13:39:14,1.496959,92.76,35.13,1-2
13:39:14,1.494399,92.76,35.13,1-2
13:39:14,1.491838,92.76,35.13,1-2
13:39:14,1.489278,92.76,35.13,1-2
13:39:15,1.482877,92.88,35.15,1-2
13:39:15,1.472636,92.88,35.15,1-2
13:39:15,1.464955,92.88,35.15,1-2
13:39:15,1.455993,92.88,35.15,1-2
13:39:16,1.4470319999999999,92.97,35.13,1-2
13:39:16,1.4470319999999999,92.97,35.13,1-2
13:39:16,1.436791,92.97,35.13,1-2
13:39:16,1.43295,92.97,35.13,1-2
13:39:17,1.4252690000000001,92.94,35.13,1-2
13:39:17,1.421429,92.94,35.13,1-2
13:39:17,1.413748,92.94,35.13,1-2
13:39:17,1.404786,92.94,35.13,1-2
13:39:18,1.399666,92.95,35.13,1-2
13:39:18,1.3945450000000001,92.95,35.13,1-2
13:39:18,1.388144,92.95,35.13,1-2
13:39:18,1.381743,92.95,35.13,1-2
13:39:19,1.3740620000000001,92.97,35.13,1-2
13:39:19,1.3663809999999998,92.97,35.13,1-2
13:39:19,1.361261,92.97,35.13,1-2
13:39:19,1.35742,92.97,35.13,1-2
13:39:20,1.351019,93.0,35.13,1-2
13:39:20,1.344618,93.0,35.13,1-2
13:39:20,1.340778,93.0,35.13,1-2
13:39:20,1.336937,93.0,35.13,1-2
13:39:21,1.3343770000000001,93.0,35.13,1-2
13:39:21,1.333097,93.0,35.13,1-2
13:39:21,1.324135,93.0,35.13,1-2
13:39:21,1.320295,93.0,35.13,1-2
13:39:22,1.316454,93.05,35.11,1-2
13:39:22,1.312614,93.05,35.11,1-2
13:39:22,1.3138940000000001,93.05,35.11,1-2
13:39:22,1.310054,93.05,35.11,1-2
13:39:23,1.307493,93.07,35.11,1-2
13:39:23,1.3023719999999999,93.07,35.11,1-2
13:39:23,1.2998120000000002,93.07,35.11,1-2
13:39:23,1.295972,93.07,35.11,1-2
13:39:24,1.294691,93.09,35.13,1-2
13:39:24,1.289571,93.09,35.13,1-2
13:39:24,1.288291,93.09,35.13,1-2
13:39:24,1.2831700000000001,93.09,35.13,1-2
13:39:25,1.28189,93.09,35.13,1-2
13:39:25,1.276769,93.09,35.13,1-2
13:39:25,1.272928,93.09,35.13,1-2
13:39:25,1.267808,93.09,35.13,1-2
13:39:26,1.266528,93.13,35.13,1-2
13:39:26,1.261407,93.13,35.13,1-2
13:39:26,1.2588469999999998,93.13,35.13,1-2
13:39:26,1.2537260000000001,93.13,35.13,1-2
13:39:27,1.251166,93.26,35.13,1-2
13:39:27,1.247325,93.26,35.13,1-2
13:39:27,1.244765,93.26,35.13,1-2
13:39:27,1.239644,93.26,35.13,1-2
13:39:28,1.239644,93.4,35.13,1-2
13:39:28,1.238364,93.4,35.13,1-2
13:39:28,1.233243,93.4,35.13,1-2
13:39:28,1.230683,93.4,35.13,1-2
13:39:29,1.230683,93.54,35.13,1-2
13:39:29,1.229403,93.54,35.13,1-2
13:39:29,1.225562,93.54,35.13,1-2
13:39:29,1.2217209999999998,93.54,35.13,1-2
13:39:30,1.2191610000000002,93.47,35.13,1-2
13:39:30,1.21276,93.47,35.13,1-2
13:39:30,1.21148,93.47,35.13,1-2
13:39:30,1.2102,93.47,35.13,1-2
13:39:31,1.205079,93.4,35.13,1-2
13:39:31,1.205079,93.4,35.13,1-2
13:39:31,1.199958,93.4,35.13,1-2
13:39:31,1.196118,93.4,35.13,1-2
13:39:32,1.1948379999999998,93.33,35.13,1-2
13:39:32,1.193558,93.33,35.13,1-2
13:39:32,1.1884370000000002,93.33,35.13,1-2
13:39:32,1.182036,93.33,35.13,1-2
13:39:33,1.184596,93.27,35.11,1-2
13:39:33,1.183316,93.27,35.11,1-2
13:39:33,1.178195,93.27,35.11,1-2
13:39:33,1.175635,93.27,35.11,1-2
